
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr",="lr_remmedr"

="2013.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.107**",="-0.086",="-0.106**",="-0.085",="-0.107**",="-0.086",="-0.107**",="-0.086",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.054)",="(0.053)",="(0.054)",="(0.053)",="(0.054)",="(0.053)",="(0.054)",="(0.053)",="",="",="",="",="",="",="",=""

="2014.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.155***",="-0.124**",="-0.154***",="-0.122**",="-0.157***",="-0.125**",="-0.155***",="-0.123**",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.057)",="(0.055)",="(0.057)",="(0.055)",="(0.057)",="(0.055)",="(0.057)",="(0.055)",="",="",="",="",="",="",="",=""

="2015.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.152**",="-0.112*",="-0.151**",="-0.111*",="-0.154**",="-0.114*",="-0.152**",="-0.112*",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.066)",="(0.064)",="(0.066)",="(0.064)",="(0.066)",="(0.064)",="(0.066)",="(0.064)",="",="",="",="",="",="",="",=""

="2016.year#c.avg_flowtreat_pf_n",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.211***",="-0.162**",="-0.211***",="-0.162**",="-0.213***",="-0.165**",="-0.211***",="-0.162**",="",="",="",="",="",="",="",=""
