
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)"
="",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr",="lr_remdezr"

="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="1.treat_ultra#2013.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.011**",="0.013**",="0.011**",="0.013**",="0.011**",="0.013**",="0.011**",="0.013**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.005)"

="1.treat_ultra#2014.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.016***",="0.018***",="0.016***",="0.018***",="0.016***",="0.018***",="0.016***",="0.018***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)"

="1.treat_ultra#2015.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.013*",="0.016**",="0.013**",="0.016**",="0.013*",="0.016**",="0.013*",="0.016**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="1.treat_ultra#2016.year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.014**",="0.018**",="0.015**",="0.018**",="0.014**",="0.018**",="0.014**",="0.018**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"

="N",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="17630",="86127",="86106",="86127",="86106",="86127",="86106",="86127",="86106"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
